Spectrum #,Particle #,x,y,Cluster_ID,Pb_at%,Mo_at%,O_at%,An er w%,Pb_w%,Mo_w%,O_w%,r_squared,redchi_sq,Quant_flag,Comments
0,1,0.108,0.305,0,16.54,17.04,66.43,-0.39,55.74,26.59,17.29,0.996151,58.3,0,34.1 min. ref. bckgrnd counts
1,1,0.108,0.216,0,17.55,16.72,65.73,4.83,60.59,26.73,17.52,0.996747,50.0,0,24.7 min. ref. bckgrnd counts
2,1,0.131,0.152,0,16.47,17.86,65.67,0.58,55.57,27.9,17.11,0.996511,57.9,0,25.3 min. ref. bckgrnd counts
3,1,0.094,0.129,0,18.55,16.13,65.32,3.86,62.03,24.97,16.86,0.997347,42.6,0,27.2 min. ref. bckgrnd counts
4,1,0.038,0.192,0,15.96,15.08,68.96,0.07,56.49,24.73,18.85,0.996211,52.3,0,30.4 min. ref. bckgrnd counts
5,2,0.066,0.043,0,16.38,15.49,68.13,0.21,56.97,24.95,18.29,0.995822,62.8,0,37.3 min. ref. bckgrnd counts
6,2,0.195,0.096,,25.71,28.52,45.77,-19.37,48.84,25.08,6.71,0.961054,982.0,4,poor fit
7,2,0.057,-0.033,0,18.47,15.52,66.01,1.51,60.97,23.72,16.82,0.996626,54.7,0,29.8 min. ref. bckgrnd counts
8,2,-0.051,0.088,0,16.82,16.86,66.32,-2.25,55.28,25.65,16.83,0.9962,59.6,0,31.9 min. ref. bckgrnd counts
9,2,-0.129,-0.164,,10.12,10.61,79.27,10.75,53.0,25.71,32.04,0.997382,42.6,6,excessive X-ray absorption
10,3,-0.155,-0.256,,11.62,11.65,76.72,13.04,57.26,26.59,29.19,0.996495,48.9,6,excessive X-ray absorption
11,3,-0.076,0.018,0,18.46,16.17,65.37,3.95,61.9,25.11,16.93,0.99668,53.4,0,15.3 min. ref. bckgrnd counts
12,3,0.053,-0.193,0,15.89,18.0,66.11,2.86,55.74,29.22,17.9,0.997629,36.6,0,14.9 min. ref. bckgrnd counts
13,3,-0.036,-0.1,,17.4,16.67,65.92,5.15,60.57,26.86,17.72,0.996753,53.3,0,22.6 min. ref. bckgrnd counts
14,3,-0.109,-0.072,0,17.69,16.52,65.79,-0.14,58.07,25.12,16.68,0.99725,47.9,0,13.6 min. ref. bckgrnd counts
15,4,0.007,0.109,0,17.19,15.06,67.75,2.15,59.73,24.24,18.18,0.996719,45.7,0,30.7 min. ref. bckgrnd counts
16,4,-0.041,0.165,0,19.07,15.87,65.07,1.96,61.84,23.83,16.3,0.997104,42.7,0,33.6 min. ref. bckgrnd counts
17,4,-0.046,0.071,0,17.77,17.21,65.02,2.88,59.43,26.66,16.79,0.99741,42.0,0,19.3 min. ref. bckgrnd counts
18,4,-0.07,0.121,0,15.84,15.97,68.19,-0.34,55.39,25.86,18.42,0.996004,58.8,0,26.7 min. ref. bckgrnd counts
19,4,-0.087,0.041,0,16.96,17.89,65.16,-0.97,55.48,27.09,16.46,0.996807,44.2,0,29.8 min. ref. bckgrnd counts
20,5,0.169,0.178,0,16.25,15.94,67.81,-1.54,55.42,25.18,17.86,0.997379,44.0,0,19.2 min. ref. bckgrnd counts
21,5,0.155,0.212,,17.16,15.64,67.19,6.65,61.85,26.1,18.7,0.997071,47.3,0,19.7 min. ref. bckgrnd counts
22,5,0.186,0.192,0,16.23,16.79,66.98,1.75,56.6,27.11,18.04,0.996586,52.1,0,33.2 min. ref. bckgrnd counts
23,5,0.126,0.242,0,15.93,15.65,68.42,-1.98,54.86,24.96,18.2,0.996793,45.6,0,29.1 min. ref. bckgrnd counts
24,5,0.136,0.219,0,16.9,16.52,66.58,3.87,59.13,26.76,17.99,0.996494,62.8,0,15.4 min. ref. bckgrnd counts
25,6,0.16,0.077,,11.98,12.23,75.79,23.0,62.71,29.65,30.64,0.995782,68.0,6,excessive X-ray absorption
26,6,0.177,0.046,,14.72,14.35,70.94,5.43,57.81,26.1,21.52,0.997148,53.5,6,excessive X-ray absorption
27,6,0.191,0.083,,12.51,12.89,74.6,14.89,59.29,28.29,27.31,0.997091,46.8,6,excessive X-ray absorption
28,6,0.137,0.145,0,15.59,15.25,69.17,-2.32,54.4,24.64,18.64,0.996663,49.5,0,46.8 min. ref. bckgrnd counts
29,6,0.19,0.063,0,18.35,16.2,65.45,0.92,59.92,24.5,16.5,0.997051,47.0,0,31.4 min. ref. bckgrnd counts
30,7,0.059,0.277,0,19.02,16.29,64.69,4.03,62.7,24.86,16.47,0.996817,53.9,0,13.7 min. ref. bckgrnd counts
31,7,0.056,0.303,0,17.2,15.3,67.49,1.8,59.37,24.45,17.98,0.997011,42.6,0,32.2 min. ref. bckgrnd counts
32,7,0.053,0.251,0,20.05,17.22,62.73,2.7,62.65,24.92,15.13,0.997635,46.2,0,11.9 min. ref. bckgrnd counts
33,7,0.059,0.228,0,16.66,18.05,65.3,-0.93,54.9,27.55,16.62,0.996834,44.5,0,23.4 min. ref. bckgrnd counts
34,8,0.104,0.033,,16.4,15.7,67.9,10.09,62.44,27.69,19.96,0.997105,45.1,6,excessive X-ray absorption
35,8,-0.06,0.125,,42.52,42.54,14.95,43.78,96.47,44.69,2.62,0.869899,1127.6,4,poor fit
36,8,-0.004,0.097,,47.32,44.57,8.11,302.14,277.46,121.01,3.67,0.941205,777.3,4,poor fit
37,8,0.037,0.011,,16.59,14.66,68.75,6.52,61.61,25.2,19.71,0.997172,46.6,6,excessive X-ray absorption
38,8,0.121,-0.04,0,17.28,16.58,66.14,2.25,58.78,26.1,17.37,0.997234,45.5,0,13.5 min. ref. bckgrnd counts
39,9,-0.137,0.217,0,15.89,14.75,69.36,0.86,57.09,24.53,19.24,0.996675,45.3,0,39.6 min. ref. bckgrnd counts
40,9,-0.167,0.243,0,15.93,15.66,68.4,-3.43,54.05,24.6,17.92,0.996215,56.2,0,47.2 min. ref. bckgrnd counts
41,9,-0.133,0.186,0,16.04,15.31,68.65,-1.69,55.46,24.52,18.33,0.99695,43.0,0,24.9 min. ref. bckgrnd counts
42,10,-0.112,0.082,,12.4,11.01,76.59,22.81,65.04,26.74,31.03,0.996312,57.5,6,excessive X-ray absorption
43,10,-0.051,0.057,,47.52,49.34,3.13,402.06,337.89,162.44,1.72,0.974188,607.1,4,poor fit
44,10,-0.148,0.135,,12.42,11.44,76.14,15.17,60.64,25.84,28.69,0.996303,52.8,6,excessive X-ray absorption
45,10,-0.059,0.122,,6.39,6.13,87.48,28.71,51.45,22.87,54.39,0.992824,85.0,6,excessive X-ray absorption
46,12,-0.078,0.089,0,17.27,16.68,66.05,-0.05,57.37,25.64,16.94,0.996937,48.2,0,36.4 min. ref. bckgrnd counts
47,12,0.007,0.039,0,18.08,15.47,66.45,2.31,60.89,24.13,17.28,0.996935,45.4,0,24.8 min. ref. bckgrnd counts
48,12,-0.075,0.004,0,15.05,17.03,67.92,-2.64,51.99,27.25,18.12,0.996069,58.5,0,42.2 min. ref. bckgrnd counts
49,12,0.015,-0.064,0,16.37,14.97,68.66,-1.05,56.64,23.97,18.34,0.996463,48.7,0,43.5 min. ref. bckgrnd counts
50,12,-0.045,0.047,0,18.3,16.36,65.34,-1.65,58.21,24.09,16.05,0.996738,49.8,0,35.6 min. ref. bckgrnd counts
51,13,-0.115,0.09,0,16.36,15.74,67.91,0.6,56.96,25.38,18.26,0.996603,52.1,0,34.4 min. ref. bckgrnd counts
52,13,-0.075,0.126,0,18.32,17.84,63.85,-4.38,55.59,25.06,14.96,0.996416,55.9,0,40.7 min. ref. bckgrnd counts
53,14,-0.022,0.046,,15.49,16.38,68.13,-6.48,51.12,25.03,17.36,0.996696,44.0,0,40.5 min. ref. bckgrnd counts
54,14,0.021,-0.022,,17.64,16.74,65.62,5.89,61.33,26.94,17.62,0.997115,51.3,0,14.4 min. ref. bckgrnd counts
55,15,0.169,0.089,0,16.41,15.27,68.32,2.56,58.52,25.22,18.82,0.997074,38.3,0,37.3 min. ref. bckgrnd counts
56,15,0.153,0.08,,,,,,,,,,,2,Total counts too low
57,16,-0.28,0.059,0,19.17,15.0,65.83,0.51,61.75,22.38,16.38,0.996796,48.5,0,40.9 min. ref. bckgrnd counts
58,16,-0.259,0.072,,14.64,15.56,69.8,9.54,58.88,28.99,21.68,0.995595,66.4,0,13.3 min. ref. bckgrnd counts
59,16,-0.221,0.025,0,15.6,16.72,67.68,-0.55,54.31,26.95,18.2,0.996996,43.9,0,27.5 min. ref. bckgrnd counts
60,16,-0.233,0.011,0,17.3,16.09,66.6,-0.03,57.86,24.92,17.2,0.997311,45.1,0,30.8 min. ref. bckgrnd counts
61,16,-0.278,0.085,,5.52,6.04,88.45,-65.48,12.58,6.37,15.57,0.999637,39.6,7,C 30102 counts > 10 % of total counts
62,17,-0.066,-0.023,,16.14,14.81,69.05,3.33,58.87,25.01,19.45,0.997119,54.9,6,excessive X-ray absorption
63,17,-0.107,0.03,,14.78,14.02,71.2,0.61,55.56,24.39,20.66,0.994306,65.7,6,excessive X-ray absorption
64,17,-0.023,-0.064,0,18.33,17.04,64.63,3.77,60.95,26.24,16.59,0.997542,42.4,0,11.6 min. ref. bckgrnd counts
65,18,0.029,0.033,0,15.69,16.03,68.27,-1.17,54.63,25.84,18.35,0.997036,44.2,0,24.4 min. ref. bckgrnd counts
66,19,-0.037,-0.041,0,18.44,15.07,66.49,3.43,62.43,23.62,17.38,0.996808,47.6,0,45.4 min. ref. bckgrnd counts
67,19,0.04,0.032,0,15.12,16.45,68.43,-2.96,52.37,26.37,18.3,0.996153,48.1,0,41.9 min. ref. bckgrnd counts
68,19,0.084,0.073,0,16.76,16.38,66.86,-3.56,54.77,24.79,16.88,0.996298,50.9,0,39.6 min. ref. bckgrnd counts
69,19,-0.049,0.032,0,15.39,16.58,68.02,-0.04,54.33,27.1,18.54,0.995837,54.2,0,35.0 min. ref. bckgrnd counts
70,19,0.027,-0.033,0,16.07,15.2,68.73,0.71,56.95,24.95,18.81,0.996763,44.5,0,26.8 min. ref. bckgrnd counts
71,20,-0.07,0.135,,13.99,14.94,71.07,-6.34,49.65,24.54,19.47,0.997666,50.3,7,C 9973 counts > 10 % of total counts
72,20,-0.084,0.177,0,16.02,15.58,68.4,1.52,57.02,25.69,18.81,0.99709,45.4,0,40.4 min. ref. bckgrnd counts
73,21,-0.203,0.111,,16.93,15.2,67.88,18.99,68.96,28.67,21.36,0.99714,45.6,6,excessive X-ray absorption
74,21,-0.184,0.102,,7.89,8.16,83.95,13.52,49.35,23.63,40.54,0.99386,76.0,6,excessive X-ray absorption
75,23,0.006,-0.001,0,18.07,15.04,66.89,2.18,61.14,23.56,17.48,0.997107,43.8,0,30.5 min. ref. bckgrnd counts
76,23,-0.006,0.075,0,17.92,16.26,65.83,1.6,59.63,25.06,16.92,0.995293,74.2,0,43.1 min. ref. bckgrnd counts
77,23,0.039,0.041,0,17.22,16.51,66.26,-1.88,56.36,25.02,16.74,0.996196,57.7,0,39.0 min. ref. bckgrnd counts
78,24,-0.213,0.067,0,16.14,17.02,66.84,-2.39,53.98,26.36,17.26,0.99649,49.8,0,35.2 min. ref. bckgrnd counts
79,24,-0.167,-0.054,0,17.0,15.3,67.7,-0.38,57.78,24.07,17.77,0.995972,59.7,0,25.0 min. ref. bckgrnd counts
80,24,-0.297,0.018,0,17.05,14.89,68.06,1.83,59.46,24.04,18.33,0.996696,45.6,0,37.6 min. ref. bckgrnd counts
81,24,-0.199,-0.003,0,16.14,16.18,67.68,2.92,57.57,26.71,18.64,0.996557,53.2,0,28.3 min. ref. bckgrnd counts
82,24,-0.266,-0.015,0,15.0,15.0,70.0,-1.41,54.07,25.04,19.49,0.996586,44.3,0,31.8 min. ref. bckgrnd counts
83,25,0.098,-0.059,0,17.06,16.55,66.39,0.59,57.49,25.83,17.27,0.996468,52.2,0,31.7 min. ref. bckgrnd counts
84,25,0.041,-0.122,0,16.73,15.72,67.54,0.6,57.59,25.06,17.95,0.996437,50.3,0,24.6 min. ref. bckgrnd counts
85,25,-0.012,-0.023,0,16.18,16.53,67.3,-3.11,53.99,25.54,17.35,0.996177,59.0,0,31.9 min. ref. bckgrnd counts
86,25,0.04,-0.062,0,19.46,15.71,64.83,2.12,62.62,23.4,16.1,0.996821,49.9,0,31.3 min. ref. bckgrnd counts
87,25,0.11,-0.145,0,14.51,15.99,69.5,0.35,53.38,27.23,19.74,0.996781,43.7,0,36.6 min. ref. bckgrnd counts
88,26,0.169,-0.098,0,16.33,16.53,67.15,-1.31,55.25,25.9,17.55,0.997251,41.3,0,31.7 min. ref. bckgrnd counts
89,26,-0.169,-0.047,0,18.5,14.76,66.74,4.32,63.29,23.39,17.64,0.996901,48.9,0,46.1 min. ref. bckgrnd counts
90,26,-0.007,0.059,,15.75,16.54,67.71,7.38,59.05,28.72,19.61,0.997138,50.8,0,9.5 min. ref. bckgrnd counts
91,26,-0.167,-0.201,0,16.27,16.29,67.44,-1.75,55.09,25.53,17.63,0.996784,47.7,0,47.1 min. ref. bckgrnd counts
92,26,0.061,-0.108,0,16.54,15.62,67.84,1.03,57.6,25.19,18.24,0.997332,43.9,0,31.4 min. ref. bckgrnd counts
93,27,-0.004,0.169,0,15.98,15.09,68.94,-2.06,55.32,24.19,18.43,0.99672,46.9,0,28.2 min. ref. bckgrnd counts
94,28,-0.298,0.303,0,14.67,16.23,69.1,-0.68,52.94,27.13,19.25,0.996552,44.9,0,37.2 min. ref. bckgrnd counts
95,28,-0.393,0.254,,13.58,10.74,75.68,-5.43,52.64,19.28,22.65,0.99337,91.8,0,31.0 min. ref. bckgrnd counts
96,28,-0.359,0.312,,13.34,13.72,72.94,-5.98,49.53,23.58,20.91,0.993773,84.2,0,36.0 min. ref. bckgrnd counts
97,28,-0.333,0.253,,13.84,12.28,73.89,-5.03,52.09,21.4,21.48,0.993892,87.6,0,36.8 min. ref. bckgrnd counts
98,30,-0.118,0.004,0,18.18,16.56,65.27,0.19,58.97,24.87,16.35,0.997642,41.9,0,22.2 min. ref. bckgrnd counts
99,30,-0.068,0.031,0,15.31,15.69,69.01,-2.68,53.4,25.34,18.59,0.996385,48.5,0,30.7 min. ref. bckgrnd counts
100,30,0.033,-0.067,0,17.52,15.35,67.13,0.42,59.02,23.94,17.46,0.995788,59.1,0,44.1 min. ref. bckgrnd counts
101,30,-0.011,0.033,,12.92,15.04,72.03,12.31,57.03,30.74,24.54,0.995232,71.7,6,excessive X-ray absorption
102,30,-0.049,0.06,0,15.41,15.54,69.04,0.28,55.32,25.83,19.13,0.996391,53.7,0,38.0 min. ref. bckgrnd counts
