Morphology,N_Atoms,Element,CN,Adsorbate,BoundMetal,PBE_BE_eV,CE_Local_eV,ChemPot_eV,MADS_eV
Cube,172,Ag,3,CH3,Ag,-1.394009943,-2.378249343,-4.9615,-2.103301805
Cube,172,Ag,5,CH3,Ag,-1.108634783,-3.354382602,-4.9615,-2.103301805
Cube,172,Ag,8_1,CH3,Ag,-0.946148367,-4.811100981,-4.9615,-2.103301805
Cube,172,Ag,8_2,CH3,Ag,-0.744213762,-4.596330704,-4.9615,-2.103301805
Cube,172,Ag,8_3,CH3,Ag,-0.798119194,-4.596330704,-4.9615,-2.103301805
Cube,172,Ag,8_4,CH3,Ag,-0.889256184,-5.056934314,-4.9615,-2.103301805
Cuboctahedron,55,Ag,5,CH3,Ag,-0.974708282,-3.437535698,-4.9615,-2.103301805
Cuboctahedron,55,Ag,7,CH3,Ag,-1.088733433,-4.451278999,-4.9615,-2.103301805
Cuboctahedron,55,Ag,8,CH3,Ag,-0.739810138,-4.679483799,-4.9615,-2.103301805
Cuboctahedron,147,Ag,5,CH3,Ag,-1.252313978,-3.437535698,-4.9615,-2.103301805
Cuboctahedron,147,Ag,7,CH3,Ag,-1.177532342,-4.354299518,-4.9615,-2.103301805
Cuboctahedron,147,Ag,8,CH3,Ag,-0.898193477,-4.637907252,-4.9615,-2.103301805
Cuboctahedron,147,Ag,9,CH3,Ag,-1.085546367,-5.22350327,-4.9615,-2.103301805
Icosahedron,55,Ag,6,CH3,Ag,-0.798014331,-3.837213909,-4.9615,-2.103301805
Icosahedron,55,Ag,8,CH3,Ag,-1.030627238,-4.799985705,-4.9615,-2.103301805
Icosahedron,147,Ag,6,CH3,Ag,-1.230441932,-3.837213909,-4.9615,-2.103301805
Icosahedron,147,Ag,8,CH3,Ag,-1.009965789,-4.718969522,-4.9615,-2.103301805
Icosahedron,147,Ag,9,CH3,Ag,-0.803938328,-5.098773626,-4.9615,-2.103301805
Cube,172,Ag,3,CO,Ag,-0.76528839,-2.378249343,-7.67014,-0.401089658
Cube,172,Ag,5,CO,Ag,-0.67587348,-3.354382602,-7.67014,-0.401089658
Cube,172,Ag,8_1,CO,Ag,-0.573750615,-4.811100981,-7.67014,-0.401089658
Cube,172,Ag,8_2,CO,Ag,-0.397878831,-4.596330704,-7.67014,-0.401089658
Cube,172,Ag,8_3,CO,Ag,-0.517195905,-4.596330704,-7.67014,-0.401089658
Cube,172,Ag,8_4,CO,Ag,-0.606029561,-5.056934314,-7.67014,-0.401089658
Cuboctahedron,55,Ag,5,CO,Ag,-0.729092903,-3.437535698,-7.67014,-0.401089658
Cuboctahedron,55,Ag,7,CO,Ag,-0.600466059,-4.451278999,-7.67014,-0.401089658
Cuboctahedron,55,Ag,8,CO,Ag,-0.675784166,-4.679483799,-7.67014,-0.401089658
Cuboctahedron,147,Ag,5,CO,Ag,-0.707825309,-3.437535698,-7.67014,-0.401089658
Cuboctahedron,147,Ag,7,CO,Ag,-0.670395505,-4.354299518,-7.67014,-0.401089658
Cuboctahedron,147,Ag,8,CO,Ag,-0.505166097,-4.637907252,-7.67014,-0.401089658
Cuboctahedron,147,Ag,9,CO,Ag,-0.566676005,-5.22350327,-7.67014,-0.401089658
Icosahedron,55,Ag,6,CO,Ag,-0.70073706,-3.837213909,-7.67014,-0.401089658
Icosahedron,55,Ag,8,CO,Ag,-0.680792723,-4.799985705,-7.67014,-0.401089658
Icosahedron,147,Ag,6,CO,Ag,-0.574472746,-3.837213909,-7.67014,-0.401089658
Icosahedron,147,Ag,8,CO,Ag,-0.537810716,-4.718969522,-7.67014,-0.401089658
Icosahedron,147,Ag,9,CO,Ag,-0.477681658,-5.098773626,-7.67014,-0.401089658
Cube,172,Ag,3,OH,Ag,-2.444550746,-2.378249343,-7.422335,-2.568996691
Cube,172,Ag,5,OH,Ag,-2.240240461,-3.354382602,-7.422335,-2.568996691
Cube,172,Ag,8_1,OH,Ag,-2.101769695,-4.811100981,-7.422335,-2.568996691
Cube,172,Ag,8_2,OH,Ag,-1.897937061,-4.596330704,-7.422335,-2.568996691
Cube,172,Ag,8_3,OH,Ag,-2.015099536,-4.596330704,-7.422335,-2.568996691
Cube,172,Ag,8_4,OH,Ag,-2.039264552,-5.056934314,-7.422335,-2.568996691
Cuboctahedron,55,Ag,5,OH,Ag,-2.118703409,-3.437535698,-7.422335,-2.568996691
Cuboctahedron,55,Ag,7,OH,Ag,-2.127446708,-4.451278999,-7.422335,-2.568996691
Cuboctahedron,55,Ag,8,OH,Ag,-2.033101256,-4.679483799,-7.422335,-2.568996691
Cuboctahedron,147,Ag,5,OH,Ag,-2.474126975,-3.437535698,-7.422335,-2.568996691
Cuboctahedron,147,Ag,7,OH,Ag,-2.469900261,-4.354299518,-7.422335,-2.568996691
Cuboctahedron,147,Ag,8,OH,Ag,-2.138217466,-4.637907252,-7.422335,-2.568996691
Cuboctahedron,147,Ag,9,OH,Ag,-2.334710919,-5.22350327,-7.422335,-2.568996691
Icosahedron,55,Ag,6,OH,Ag,-2.074431576,-3.837213909,-7.422335,-2.568996691
Icosahedron,55,Ag,8,OH,Ag,-2.112344933,-4.799985705,-7.422335,-2.568996691
Icosahedron,147,Ag,6,OH,Ag,-2.382664514,-3.837213909,-7.422335,-2.568996691
Icosahedron,147,Ag,8,OH,Ag,-2.253106228,-4.718969522,-7.422335,-2.568996691
Icosahedron,147,Ag,9,OH,Ag,-2.093117283,-5.098773626,-7.422335,-2.568996691
Cube,172,Au,3,CH3,Au,-1.680544973,-3.07156949,-4.9615,-2.795602889
Cube,172,Au,5,CH3,Au,-1.473046547,-4.332270412,-4.9615,-2.795602889
Cube,172,Au,8_1,CH3,Au,-1.184356663,-6.213659233,-4.9615,-2.795602889
Cube,172,Au,8_2,CH3,Au,-0.987923632,-5.93627796,-4.9615,-2.795602889
Cube,172,Au,8_3,CH3,Au,-1.098053079,-5.93627796,-4.9615,-2.795602889
Cube,172,Au,8_4,CH3,Au,-1.194207095,-6.531159233,-4.9615,-2.795602889
Cuboctahedron,55,Au,5,CH3,Au,-1.310260491,-4.439664748,-4.9615,-2.795602889
Cuboctahedron,55,Au,7,CH3,Au,-1.478138039,-5.748939995,-4.9615,-2.795602889
Cuboctahedron,55,Au,8,CH3,Au,-1.121899737,-6.043672297,-4.9615,-2.795602889
Cuboctahedron,147,Au,5,CH3,Au,-1.599959327,-4.439664748,-4.9615,-2.795602889
Cuboctahedron,147,Au,7,CH3,Au,-1.42143997,-5.623688531,-4.9615,-2.795602889
Cuboctahedron,147,Au,8,CH3,Au,-1.156843482,-5.989975128,-4.9615,-2.795602889
Cuboctahedron,147,Au,9,CH3,Au,-1.276747685,-6.746287274,-4.9615,-2.795602889
Icosahedron,55,Au,6,CH3,Au,-1.363606774,-4.95585932,-4.9615,-2.795602889
Icosahedron,55,Au,8,CH3,Au,-1.285009705,-6.199303572,-4.9615,-2.795602889
Icosahedron,147,Au,6,CH3,Au,-1.657178869,-4.95585932,-4.9615,-2.795602889
Icosahedron,147,Au,8,CH3,Au,-1.292719422,-6.094669111,-4.9615,-2.795602889
Icosahedron,147,Au,9,CH3,Au,-1.05677968,-6.585195768,-4.9615,-2.795602889
Cube,172,Au,3,CO,Au,-1.074648513,-3.07156949,-7.67014,-0.619569793
Cube,172,Au,5,CO,Au,-0.956901334,-4.332270412,-7.67014,-0.619569793
Cube,172,Au,8_1,CO,Au,-0.568515716,-6.213659233,-7.67014,-0.619569793
Cube,172,Au,8_2,CO,Au,-0.453040465,-5.93627796,-7.67014,-0.619569793
Cube,172,Au,8_3,CO,Au,-0.50294432,-5.93627796,-7.67014,-0.619569793
Cube,172,Au,8_4,CO,Au,-0.559351087,-6.531159233,-7.67014,-0.619569793
Cuboctahedron,55,Au,5,CO,Au,-0.971761204,-4.439664748,-7.67014,-0.619569793
Cuboctahedron,55,Au,7,CO,Au,-0.734235251,-5.748939995,-7.67014,-0.619569793
Cuboctahedron,55,Au,8,CO,Au,-0.78929083,-6.043672297,-7.67014,-0.619569793
Cuboctahedron,147,Au,5,CO,Au,-0.971712551,-4.439664748,-7.67014,-0.619569793
Cuboctahedron,147,Au,7,CO,Au,-0.7424929,-5.623688531,-7.67014,-0.619569793
Cuboctahedron,147,Au,8,CO,Au,-0.51323459,-5.989975128,-7.67014,-0.619569793
Cuboctahedron,147,Au,9,CO,Au,-0.502587193,-6.746287274,-7.67014,-0.619569793
Icosahedron,55,Au,6,CO,Au,-0.96804625,-4.95585932,-7.67014,-0.619569793
Icosahedron,55,Au,8,CO,Au,-0.622962195,-6.199303572,-7.67014,-0.619569793
Icosahedron,147,Au,6,CO,Au,-0.918184245,-4.95585932,-7.67014,-0.619569793
Icosahedron,147,Au,8,CO,Au,-0.652931052,-6.094669111,-7.67014,-0.619569793
Icosahedron,147,Au,9,CO,Au,-0.473117055,-6.585195768,-7.67014,-0.619569793
Cube,172,Au,3,OH,Au,-2.212653889,-3.07156949,-7.422335,-2.545869187
Cube,172,Au,5,OH,Au,-1.986569692,-4.332270412,-7.422335,-2.545869187
Cube,172,Au,8_1,OH,Au,-1.636450691,-6.213659233,-7.422335,-2.545869187
Cube,172,Au,8_2,OH,Au,-1.524028461,-5.93627796,-7.422335,-2.545869187
Cube,172,Au,8_3,OH,Au,-1.569564608,-5.93627796,-7.422335,-2.545869187
Cube,172,Au,8_4,OH,Au,-1.630553571,-6.531159233,-7.422335,-2.545869187
Cuboctahedron,55,Au,5,OH,Au,-1.760447045,-4.439664748,-7.422335,-2.545869187
Cuboctahedron,55,Au,7,OH,Au,-1.782049665,-5.748939995,-7.422335,-2.545869187
Cuboctahedron,55,Au,8,OH,Au,-1.656630602,-6.043672297,-7.422335,-2.545869187
Cuboctahedron,147,Au,5,OH,Au,-2.248172095,-4.439664748,-7.422335,-2.545869187
Cuboctahedron,147,Au,7,OH,Au,-2.019279403,-5.623688531,-7.422335,-2.545869187
Cuboctahedron,147,Au,8,OH,Au,-1.757620396,-5.989975128,-7.422335,-2.545869187
Cuboctahedron,147,Au,9,OH,Au,-1.850609271,-6.746287274,-7.422335,-2.545869187
Icosahedron,55,Au,6,OH,Au,-1.675987853,-4.95585932,-7.422335,-2.545869187
Icosahedron,55,Au,8,OH,Au,-1.5221225,-6.199303572,-7.422335,-2.545869187
Icosahedron,147,Au,6,OH,Au,-2.25371813,-4.95585932,-7.422335,-2.545869187
Icosahedron,147,Au,8,OH,Au,-1.878044364,-6.094669111,-7.422335,-2.545869187
Icosahedron,147,Au,9,OH,Au,-1.676277804,-6.585195768,-7.422335,-2.545869187
Cube,172,Cu,3,CH3,Cu,-1.587398586,-2.8135899,-4.9615,-2.971318718
Cube,172,Cu,5,CH3,Cu,-1.433259238,-3.96840518,-4.9615,-2.971318718
Cube,172,Cu,8_1,CH3,Cu,-1.023054279,-5.691777093,-4.9615,-2.971318718
Cube,172,Cu,8_2,CH3,Cu,-0.886149783,-5.437692934,-4.9615,-2.971318718
Cube,172,Cu,8_3,CH3,Cu,-0.905922987,-5.437692934,-4.9615,-2.971318718
Cube,172,Cu,8_4,CH3,Cu,-1.141412486,-5.982610426,-4.9615,-2.971318718
Cuboctahedron,55,Cu,5,CH3,Cu,-1.303955271,-4.06677952,-4.9615,-2.971318718
Cuboctahedron,55,Cu,7,CH3,Cu,-1.42721353,-5.266089391,-4.9615,-2.971318718
Cuboctahedron,55,Cu,8,CH3,Cu,-1.048646608,-5.536067275,-4.9615,-2.971318718
Cuboctahedron,147,Cu,5,CH3,Cu,-1.604135995,-4.06677952,-4.9615,-2.971318718
Cuboctahedron,147,Cu,7,CH3,Cu,-1.51310466,-5.151357735,-4.9615,-2.971318718
Cuboctahedron,147,Cu,8,CH3,Cu,-1.015154862,-5.486880105,-4.9615,-2.971318718
Cuboctahedron,147,Cu,9,CH3,Cu,-1.36446308,-6.17966997,-4.9615,-2.971318718
Icosahedron,55,Cu,6,CH3,Cu,-1.174232077,-4.539619167,-4.9615,-2.971318718
Icosahedron,55,Cu,8,CH3,Cu,-1.334488001,-5.678627157,-4.9615,-2.971318718
Icosahedron,147,Cu,6,CH3,Cu,-1.554975944,-4.539619167,-4.9615,-2.971318718
Icosahedron,147,Cu,8,CH3,Cu,-1.241603748,-5.582780892,-4.9615,-2.971318718
Icosahedron,147,Cu,9,CH3,Cu,-0.975929046,-6.03210846,-4.9615,-2.971318718
Cube,172,Cu,3,CO,Cu,-0.813582169,-2.8135899,-7.67014,-1.196364646
Cube,172,Cu,5,CO,Cu,-0.997415347,-3.96840518,-7.67014,-1.196364646
Cube,172,Cu,8_1,CO,Cu,-1.052238262,-5.691777093,-7.67014,-1.196364646
Cube,172,Cu,8_2,CO,Cu,-0.765609355,-5.437692934,-7.67014,-1.196364646
Cube,172,Cu,8_3,CO,Cu,-0.846616101,-5.437692934,-7.67014,-1.196364646
Cube,172,Cu,8_4,CO,Cu,-0.99748772,-5.982610426,-7.67014,-1.196364646
Cuboctahedron,55,Cu,5,CO,Cu,-1.295592704,-4.06677952,-7.67014,-1.196364646
Cuboctahedron,55,Cu,7,CO,Cu,-1.137559799,-5.266089391,-7.67014,-1.196364646
Cuboctahedron,55,Cu,8,CO,Cu,-1.199708918,-5.536067275,-7.67014,-1.196364646
Cuboctahedron,147,Cu,5,CO,Cu,-1.304355715,-4.06677952,-7.67014,-1.196364646
Cuboctahedron,147,Cu,7,CO,Cu,-1.167947926,-5.151357735,-7.67014,-1.196364646
Cuboctahedron,147,Cu,8,CO,Cu,-0.941819491,-5.486880105,-7.67014,-1.196364646
Cuboctahedron,147,Cu,9,CO,Cu,-1.038293441,-6.17966997,-7.67014,-1.196364646
Icosahedron,55,Cu,6,CO,Cu,-1.234118651,-4.539619167,-7.67014,-1.196364646
Icosahedron,55,Cu,8,CO,Cu,-1.160106411,-5.678627157,-7.67014,-1.196364646
Icosahedron,147,Cu,6,CO,Cu,-1.044967764,-4.539619167,-7.67014,-1.196364646
Icosahedron,147,Cu,8,CO,Cu,-0.996464302,-5.582780892,-7.67014,-1.196364646
Icosahedron,147,Cu,9,CO,Cu,-0.882105187,-6.03210846,-7.67014,-1.196364646
Cube,172,Cu,3,OH,Cu,-2.87747608,-2.8135899,-7.422335,-3.58492343
Cube,172,Cu,5,OH,Cu,-2.798282668,-3.96840518,-7.422335,-3.58492343
Cube,172,Cu,8_1,OH,Cu,-2.489703936,-5.691777093,-7.422335,-3.58492343
Cube,172,Cu,8_2,OH,Cu,-2.292992532,-5.437692934,-7.422335,-3.58492343
Cube,172,Cu,8_3,OH,Cu,-2.209091913,-5.437692934,-7.422335,-3.58492343
Cube,172,Cu,8_4,OH,Cu,-2.317946339,-5.982610426,-7.422335,-3.58492343
Cuboctahedron,55,Cu,5,OH,Cu,-2.763982564,-4.06677952,-7.422335,-3.58492343
Cuboctahedron,55,Cu,7,OH,Cu,-2.671999557,-5.266089391,-7.422335,-3.58492343
Cuboctahedron,55,Cu,8,OH,Cu,-2.473793541,-5.536067275,-7.422335,-3.58492343
Cuboctahedron,147,Cu,5,OH,Cu,-3.058603209,-4.06677952,-7.422335,-3.58492343
Cuboctahedron,147,Cu,7,OH,Cu,-2.871305955,-5.151357735,-7.422335,-3.58492343
Cuboctahedron,147,Cu,8,OH,Cu,-2.420814519,-5.486880105,-7.422335,-3.58492343
Cuboctahedron,147,Cu,9,OH,Cu,-2.703733227,-6.17966997,-7.422335,-3.58492343
Icosahedron,55,Cu,6,OH,Cu,-2.68519658,-4.539619167,-7.422335,-3.58492343
Icosahedron,55,Cu,8,OH,Cu,-2.619955325,-5.678627157,-7.422335,-3.58492343
Icosahedron,147,Cu,6,OH,Cu,-2.953359384,-4.539619167,-7.422335,-3.58492343
Icosahedron,147,Cu,8,OH,Cu,-2.717343299,-5.582780892,-7.422335,-3.58492343
Icosahedron,147,Cu,9,OH,Cu,-2.504740413,-6.03210846,-7.422335,-3.58492343
